0.00	    235.00	 1.19
1.00	   4707.82	 0.98
2.00	   8460.12	 0.86
3.00	  11569.42	 0.88
4.00	  14108.92	 1.12
5.00	  16147.50	 1.65
6.00	  17749.72	 2.52
7.00	  18975.82	 3.80
8.00	  19881.72	 5.56
9.00	  20519.02	 7.86
10.00	  20935.00	10.77
11.00	  21172.62	14.35
12.00	  21270.52	18.66
13.00	  21263.02	23.78
